student_id,student_name,age,gender,city,attendance_pct,study_hours_per_day,assignment_score,exam_score,grade
1,Student_001,21,Male,Delhi,72,2.7,48,56,C
2,Student_002,16,Male,Meerut,57,1.2,53,30,F
3,Student_003,20,Male,Jaipur,100,5.5,74,76,B
4,Student_004,17,Female,Lucknow,55,6.3,50,69,C
5,Student_005,19,Female,Lucknow,64,2.5,88,54,D
6,Student_006,16,Male,Meerut,61,3.5,62,58,C
7,Student_007,18,Male,Gurgaon,89,1.9,99,63,C
8,Student_008,16,Female,Agra,91,2.3,44,35,F
9,Student_009,21,Male,Lucknow,60,7.0,95,71,B
10,Student_010,19,Female,Gurgaon,95,6.8,50,71,B
11,Student_011,18,Male,Lucknow,99,7.6,81,78,B
12,Student_012,20,Male,Jaipur,65,4.2,57,71,B
13,Student_013,21,Male,Agra,58,2.6,42,52,D
14,Student_014,18,Female,Lucknow,59,2.5,100,65,C
15,Student_015,21,Female,Jaipur,96,4.5,96,94,A
16,Student_016,21,Female,Ghaziabad,71,2.0,87,60,C
17,Student_017,20,Female,Meerut,92,3.8,54,49,D
18,Student_018,20,Female,Noida,58,7.0,49,71,B
19,Student_019,17,Female,Noida,79,3.7,69,63,C
20,Student_020,18,Male,Noida,98,7.2,88,84,B
21,Student_021,22,Female,Noida,73,4.0,69,47,D
22,Student_022,21,Female,Ghaziabad,87,7.4,95,97,A
23,Student_023,18,Male,Ghaziabad,78,6.3,74,91,A
24,Student_024,22,Male,Agra,86,1.1,99,57,C
25,Student_025,22,Female,Jaipur,58,2.7,76,69,C
26,Student_026,16,Male,Gurgaon,59,7.8,74,88,A
27,Student_027,17,Male,Gurgaon,90,2.2,73,71,B
28,Student_028,20,Female,Jaipur,89,6.3,84,74,B
29,Student_029,21,Female,Meerut,97,5.5,68,88,A
30,Student_030,20,Female,Noida,70,2.6,61,36,F
31,Student_031,20,Male,Jaipur,55,1.5,80,35,F
32,Student_032,17,Male,Delhi,76,1.5,55,38,F
33,Student_033,21,Female,Jaipur,89,1.9,99,79,B
34,Student_034,20,Female,Jaipur,85,6.7,52,60,C
35,Student_035,16,Female,Agra,82,3.9,95,81,B
36,Student_036,16,Male,Delhi,80,6.1,91,94,A
37,Student_037,16,Male,Jaipur,67,4.8,48,55,C
38,Student_038,17,Female,Gurgaon,70,7.1,44,67,C
39,Student_039,22,Male,Delhi,96,8.0,93,81,B
40,Student_040,16,Male,Ghaziabad,81,4.4,53,72,B
41,Student_041,19,Male,Ghaziabad,79,1.0,64,40,D
42,Student_042,22,Female,Lucknow,82,5.9,86,90,A
43,Student_043,20,Female,Ghaziabad,67,3.1,43,50,D
44,Student_044,21,Male,Agra,58,1.4,70,47,D
45,Student_045,22,Male,Delhi,87,1.6,51,34,F
46,Student_046,20,Male,Jaipur,80,1.8,96,65,C
47,Student_047,17,Male,Noida,81,5.6,76,75,B
48,Student_048,18,Female,Jaipur,97,6.0,55,66,C
49,Student_049,19,Male,Lucknow,84,3.2,88,81,B
50,Student_050,16,Male,Gurgaon,94,8.0,46,66,C
51,Student_051,20,Male,Lucknow,63,7.5,96,73,B
52,Student_052,17,Female,Lucknow,65,4.1,74,69,C
53,Student_053,18,Male,Lucknow,97,1.7,96,55,C
54,Student_054,18,Male,Noida,90,2.1,58,57,C
55,Student_055,17,Female,Jaipur,98,5.4,56,72,B
56,Student_056,19,Female,Delhi,60,5.4,93,67,C
57,Student_057,16,Male,Agra,63,5.5,56,52,D
58,Student_058,21,Female,Meerut,90,1.1,44,58,C
59,Student_059,21,Male,Delhi,78,5.1,49,60,C
60,Student_060,17,Male,Lucknow,78,7.3,90,99,A
61,Student_061,16,Female,Jaipur,98,2.7,46,50,D
62,Student_062,22,Female,Ghaziabad,70,7.1,91,94,A
63,Student_063,17,Female,Delhi,66,6.2,61,78,B
64,Student_064,19,Male,Lucknow,65,6.5,46,61,C
65,Student_065,22,Male,Gurgaon,69,2.4,98,62,C
66,Student_066,18,Female,Jaipur,69,1.2,52,38,F
67,Student_067,18,Female,Noida,72,3.5,72,57,C
68,Student_068,21,Female,Delhi,62,7.1,56,60,C
69,Student_069,20,Female,Delhi,61,5.2,62,70,B
70,Student_070,22,Female,Meerut,93,7.9,47,76,B
71,Student_071,20,Male,Lucknow,57,6.0,40,59,C
72,Student_072,22,Male,Agra,82,1.5,82,70,B
73,Student_073,18,Female,Noida,74,4.5,82,67,C
74,Student_074,18,Female,Lucknow,90,1.9,66,61,C
75,Student_075,19,Male,Lucknow,80,4.8,40,52,D
76,Student_076,18,Male,Meerut,92,5.2,60,69,C
77,Student_077,19,Female,Jaipur,87,4.3,97,92,A
78,Student_078,22,Male,Noida,73,4.6,80,73,B
79,Student_079,18,Male,Jaipur,98,3.2,91,63,C
80,Student_080,17,Male,Delhi,70,7.9,79,96,A
81,Student_081,22,Male,Gurgaon,81,7.2,76,73,B
82,Student_082,21,Female,Gurgaon,80,2.7,81,68,C
83,Student_083,16,Male,Meerut,69,2.2,84,58,C
84,Student_084,19,Male,Jaipur,62,4.2,91,67,C
85,Student_085,21,Female,Gurgaon,94,6.7,97,91,A
86,Student_086,19,Female,Ghaziabad,85,4.2,88,65,C
87,Student_087,22,Female,Gurgaon,95,2.7,68,48,D
88,Student_088,21,Female,Jaipur,72,3.4,97,70,B
89,Student_089,16,Male,Ghaziabad,69,3.7,49,59,C
90,Student_090,17,Male,Meerut,81,3.3,69,58,C
91,Student_091,16,Male,Meerut,79,7.3,77,98,A
92,Student_092,21,Male,Meerut,85,1.0,62,41,D
93,Student_093,22,Female,Meerut,89,6.2,74,89,A
94,Student_094,20,Male,Gurgaon,69,2.9,71,41,D
95,Student_095,19,Female,Meerut,65,6.9,98,74,B
96,Student_096,20,Male,Meerut,92,5.0,41,49,D
97,Student_097,21,Female,Ghaziabad,84,2.3,56,49,D
